COD_ORGAO_ORIGEM,NUM_LEGISLATURA_APRESEN,NUM_LEGISLATURA_LEI,NOM_PARTIDO_POLITICO,DAT_VETO_TOTAL,NOM_UF,DES_TIPO_PROPOSICAO,DES_COMPLETA,COD_TIPO_NORMA_JURIDICA_ORIGEM,SIG_UF,DAT_FIM_LEGISLATURA_LEI,COD_PROPOSICAO_ORIGEM,DES_ATIVO_TIPO_PROPOSICAO,NOM_ORGAO,DES_APELIDO_ORGAO,DATAPRESENTACAOPROPOSICAO,DES_TIPO_AUTOR,COD_SEXO,IND_ATIVO_ORGAO,COD_TIPO_PARLAMENTAR,DES_TIPO_NORMA_JURIDICA,DES_TIPO_SESSAO_LEGISLATIVA_APRESEN,DATTRANSFPROPOSICAOLEI,DAT_FINAL_RECESSO_LEI,AREAS_TEMATICAS_APRESENTACAO,DES_TIPO_SESSAO_LEGISLATIVA_LEI,DAT_INICIAL_RECESSO_APRESEN,ANO_PROPOSICAO,TEX_REGIAO_GEOGRAFICA_AUTOR,DAT_INICIO_LEGISLATURA_LEI,NUM_SESSAO_LEGISLATIVA_APRESEN,DAT_INICIAL_RECESSO_LEI,DAT_FIM_SESSAO_LEGISLATIVA_APRESEN,SIG_NORMA_JURIDICA,DAT_INICIO_SESSAO_LEGISLATIVA_LEI,DES_TIPO_PARLAMENTAR,NOM_PROPOSICAO,DES_ATIVO_ORGAO,COD_PARTIDO_POLITICO,NOM_CIVIL_PARLAMENTAR,SIG_TIPO_PROPOSICAO,COD_TIPO_SESSAO_LEGISLATIVA_APRESEN,DAT_INICIO_SESSAO_LEGISLATIVA_APRESEN,COD_PARLAMENTAR_ORIGEM,DAT_FIM_SESSAO_LEGISLATIVA_LEI,DES_SITUACAO_PROPOSICAO,COD_TIPO_AUTOR_ORIGEM,NUM_SESSAO_LEGISLATIVA_LEI,DAT_FIM_LEGISLATURA_APRESEN,SIG_PARTIDO_POLITICO,IND_ATIVO_TIPO_PROPOSICAO,DAT_INICIO_LEGISLATURA_APRESEN,NUM_PROPOSICAO,COD_TIPO_SESSAO_LEGISLATIVA_LEI,NOM_PARLAMENTAR,DAT_FINAL_RECESSO_APRESEN
-1,55,-1,PARTIDO SOCIALISTA BRASILEIRO,,TOCANTINS,PROJETO DE LEI,PROJETO DE LEI,-1,TO,,961710,ATIVADO,N/A,N/A,04-03-2015,DEPUTADO,M,-1,10000,N/A,Ordinária,,,TRABALHO E EMPREGO,N/A,,2015,NORTE,,1,,22-12-2015,N/A,,DEPUTADO,PL 569/2015,N/A,125,VICENTE ALVES DE OLIVEIRA JUNIOR,PL,1,02-02-2015,5310708,,N/A,TipoParlamentar_10000,-1,31-01-2019,PSB,1,01-02-2015,569,-1,VICENTINHO JÚNIOR,
-1,55,-1,N/A,,N/A,PROJETO DE LEI,PROJETO DE LEI,-1,N/A,,944272,ATIVADO,N/A,N/A,02-02-2015,DEPUTADO,M,-1,10000,N/A,Ordinária,,,"COMUNICAÇÕES,DIREITOS HUMANOS, MINORIAS E CIDADANIA",N/A,,2015,N/A,,1,,22-12-2015,N/A,,DEPUTADO,PL 19/2015,N/A,-1,OTAVIO SANTOS SILVA LEITE,PL,1,02-02-2015,5310554,,N/A,TipoParlamentar_10000,-1,31-01-2019,N/A,1,01-02-2015,19,-1,OTAVIO LEITE,
-1,55,-1,PARTIDO DEMOCRÁTICO TRABALHISTA,,SÃO PAULO,PROJETO DE LEI,PROJETO DE LEI,-1,SP,,962502,ATIVADO,N/A,N/A,05-03-2015,DEPUTADO,M,-1,10000,N/A,Ordinária,,,"ORGANIZAÇÃO POLÍTICA, PARTIDÁRIA E ELEITORAL",N/A,,2015,SUDESTE,,1,,22-12-2015,N/A,,DEPUTADO,PL 581/2015,N/A,104,SERGIO OLIMPIO GOMES,PL,1,02-02-2015,5310405,,N/A,TipoParlamentar_10000,-1,31-01-2019,PDT,1,01-02-2015,581,-1,MAJOR OLIMPIO,
-1,55,-1,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,,SÃO PAULO,PROJETO DE LEI,PROJETO DE LEI,-1,SP,,949186,ATIVADO,N/A,N/A,26-02-2015,DEPUTADO,M,-1,10000,N/A,Ordinária,,,"INDÚSTRIA, COMÉRCIO E ABASTECIMENTO,RECURSOS HÍDRICOS, MINERAIS E POLÍTICA ENERGÉTICA",N/A,,2015,SUDESTE,,1,,22-12-2015,N/A,,DEPUTADO,PL 486/2015,N/A,128,ANTONIO CARLOS DE MENDES THAME,PL,1,02-02-2015,5310802,,N/A,TipoParlamentar_10000,-1,31-01-2019,PSDB,1,01-02-2015,486,-1,ANTONIO CARLOS MENDES THAME,
-1,55,-1,PARTIDO SOCIAL DEMOCRÁTICO,,SÃO PAULO,PROJETO DE LEI,PROJETO DE LEI,-1,SP,,949096,ATIVADO,N/A,N/A,25-02-2015,DEPUTADO,M,-1,10000,N/A,Ordinária,,,DESENVOLVIMENTO URBANO E TRÂNSITO,N/A,,2015,SUDESTE,,1,,22-12-2015,N/A,,DEPUTADO,PL 467/2015,N/A,127,RICARDO IZAR JUNIOR,PL,1,02-02-2015,5310479,,N/A,TipoParlamentar_10000,-1,31-01-2019,PSD,1,01-02-2015,467,-1,RICARDO IZAR,
-1,55,-1,PARTIDO DA REPÚBLICA,,SÃO PAULO,PROJETO DE LEI,PROJETO DE LEI,-1,SP,,946138,ATIVADO,N/A,N/A,09-02-2015,DEPUTADO,M,-1,10000,N/A,Ordinária,,,ADMINISTRAÇÃO PÚBLICA,N/A,,2015,SUDESTE,,1,,22-12-2015,N/A,,DEPUTADO,PL 237/2015,N/A,168,JOSE AUGUSTO ROSA,PL,1,02-02-2015,5310434,,N/A,TipoParlamentar_10000,-1,31-01-2019,PR,1,01-02-2015,237,-1,CAPITÃO AUGUSTO,
-1,55,-1,PARTIDO COMUNISTA DO BRASIL,,RIO GRANDE DO SUL,PROJETO DE LEI,PROJETO DE LEI,-1,RS,,946155,ATIVADO,N/A,N/A,09-02-2015,DEPUTADO,M,-1,10000,N/A,Ordinária,,,EDUCAÇÃO,N/A,,2015,SUL,,1,,22-12-2015,N/A,,DEPUTADO,PL 244/2015,N/A,99,JOAO DERLY DE OLIVEIRA NUNES JUNIOR,PL,1,02-02-2015,5310412,,N/A,TipoParlamentar_10000,-1,31-01-2019,PCDOB,1,01-02-2015,244,-1,JOÃO DERLY,
-1,55,-1,PARTIDO DEMOCRÁTICO TRABALHISTA,,RIO GRANDE DO SUL,PROJETO DE LEI COMPLEMENTAR,PROJETO DE LEI COMPLEMENTAR (ART. 61 CF),-1,RS,,944747,ATIVADO,N/A,N/A,02-02-2015,DEPUTADO,M,-1,10000,N/A,Ordinária,,,"ORGANIZAÇÃO POLÍTICA, PARTIDÁRIA E ELEITORAL",N/A,,2015,SUL,,1,,22-12-2015,N/A,,DEPUTADO,PLP 3/2015,N/A,104,DARCI POMPEO DE MATTOS,PLP,1,02-02-2015,5310627,,N/A,TipoParlamentar_10000,-1,31-01-2019,PDT,1,01-02-2015,3,-1,POMPEO DE MATTOS,
-1,55,-1,PARTIDO DOS TRABALHADORES,,PARAÍBA,PROJETO DE LEI,PROJETO DE LEI,-1,PB,,946146,ATIVADO,N/A,N/A,09-02-2015,DEPUTADO,M,-1,10000,N/A,Ordinária,,,"DIREITOS HUMANOS, MINORIAS E CIDADANIA,SISTEMA FINANCEIRO",N/A,,2015,NORDESTE,,1,,22-12-2015,N/A,,DEPUTADO,PL 241/2015,N/A,134,LUIZ ALBUQUERQUE COUTO,PL,1,02-02-2015,5310317,,N/A,TipoParlamentar_10000,-1,31-01-2019,PT,1,01-02-2015,241,-1,LUIZ COUTO,
-1,55,-1,PARTIDO DOS TRABALHADORES,,PARAÍBA,PROJETO DE LEI,PROJETO DE LEI,-1,PB,,946143,ATIVADO,N/A,N/A,09-02-2015,DEPUTADO,M,-1,10000,N/A,Ordinária,,,"DESENVOLVIMENTO URBANO E TRÂNSITO,DIREITOS HUMANOS, MINORIAS E CIDADANIA",N/A,,2015,NORDESTE,,1,,22-12-2015,N/A,,DEPUTADO,PL 239/2015,N/A,134,LUIZ ALBUQUERQUE COUTO,PL,1,02-02-2015,5310317,,N/A,TipoParlamentar_10000,-1,31-01-2019,PT,1,01-02-2015,239,-1,LUIZ COUTO,
