COD_ORGAO_ORIGEM,NUM_LEGISLATURA_APRESEN,NUM_LEGISLATURA_LEI,NOM_PARTIDO_POLITICO,DAT_VETO_TOTAL,NOM_UF,DES_TIPO_PROPOSICAO,DES_COMPLETA,COD_TIPO_NORMA_JURIDICA_ORIGEM,SIG_UF,DAT_FIM_LEGISLATURA_LEI,COD_PROPOSICAO_ORIGEM,DES_ATIVO_TIPO_PROPOSICAO,NOM_ORGAO,DES_APELIDO_ORGAO,DATAPRESENTACAOPROPOSICAO,DES_TIPO_AUTOR,COD_SEXO,IND_ATIVO_ORGAO,COD_TIPO_PARLAMENTAR,DES_TIPO_NORMA_JURIDICA,DES_TIPO_SESSAO_LEGISLATIVA_APRESEN,DATTRANSFPROPOSICAOLEI,DAT_FINAL_RECESSO_LEI,AREAS_TEMATICAS_APRESENTACAO,DES_TIPO_SESSAO_LEGISLATIVA_LEI,DAT_INICIAL_RECESSO_APRESEN,ANO_PROPOSICAO,TEX_REGIAO_GEOGRAFICA_AUTOR,DAT_INICIO_LEGISLATURA_LEI,NUM_SESSAO_LEGISLATIVA_APRESEN,DAT_INICIAL_RECESSO_LEI,DAT_FIM_SESSAO_LEGISLATIVA_APRESEN,SIG_NORMA_JURIDICA,DAT_INICIO_SESSAO_LEGISLATIVA_LEI,DES_TIPO_PARLAMENTAR,NOM_PROPOSICAO,DES_ATIVO_ORGAO,COD_PARTIDO_POLITICO,NOM_CIVIL_PARLAMENTAR,SIG_TIPO_PROPOSICAO,COD_TIPO_SESSAO_LEGISLATIVA_APRESEN,DAT_INICIO_SESSAO_LEGISLATIVA_APRESEN,COD_PARLAMENTAR_ORIGEM,DAT_FIM_SESSAO_LEGISLATIVA_LEI,DES_SITUACAO_PROPOSICAO,COD_TIPO_AUTOR_ORIGEM,NUM_SESSAO_LEGISLATIVA_LEI,DAT_FIM_LEGISLATURA_APRESEN,SIG_PARTIDO_POLITICO,IND_ATIVO_TIPO_PROPOSICAO,DAT_INICIO_LEGISLATURA_APRESEN,NUM_PROPOSICAO,COD_TIPO_SESSAO_LEGISLATIVA_LEI,NOM_PARLAMENTAR,DAT_FINAL_RECESSO_APRESEN
2002,51,52,N/A,,N/A,"PROJETO DE DECRETO LEGISLATIVO DE CONCESSÃO, RENOVAÇÃO E PERMISSÃO DE RADIO/TV","CONCESSÃO/RENOVAÇÃO DE RADIO/TV (ART. 49, XII C/C 223 DA CF)",32,N/A,31-01-2007,103149,ATIVADO,"COMISSÃO DE CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA","CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA",19-12-2002,COMISSÃO PERMANENTE,N/A,1,-1,DECRETO LEGISLATIVO,Extraordinária,08-07-2004,01-08-2004,COMUNICAÇÕES,Ordinária,,2002,N/A,01-02-2003,6,13-07-2004,20-12-2002,DLG,15-02-2004,N/A,PDC 2755/2002,ATIVO,-1,N/A,PDC,2,17-12-2002,-1,15-12-2004,TRANSFORMADA EM NORMA,TipoOrgao_2,2,31-01-2003,N/A,1,01-02-1999,2755,1,N/A,
2002,51,52,N/A,,N/A,"PROJETO DE DECRETO LEGISLATIVO DE CONCESSÃO, RENOVAÇÃO E PERMISSÃO DE RADIO/TV","CONCESSÃO/RENOVAÇÃO DE RADIO/TV (ART. 49, XII C/C 223 DA CF)",32,N/A,31-01-2007,103186,ATIVADO,"COMISSÃO DE CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA","CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA",19-12-2002,COMISSÃO PERMANENTE,N/A,1,-1,DECRETO LEGISLATIVO,Extraordinária,02-02-2004,,COMUNICAÇÕES,Extraordinária,,2002,N/A,01-02-2003,6,,20-12-2002,DLG,19-01-2004,N/A,PDC 2787/2002,ATIVO,-1,N/A,PDC,2,17-12-2002,-1,13-02-2004,TRANSFORMADA EM NORMA,TipoOrgao_2,3,31-01-2003,N/A,1,01-02-1999,2787,2,N/A,
2002,51,52,N/A,,N/A,"PROJETO DE DECRETO LEGISLATIVO DE CONCESSÃO, RENOVAÇÃO E PERMISSÃO DE RADIO/TV","CONCESSÃO/RENOVAÇÃO DE RADIO/TV (ART. 49, XII C/C 223 DA CF)",32,N/A,31-01-2007,101185,ATIVADO,"COMISSÃO DE CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA","CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA",09-12-2002,COMISSÃO PERMANENTE,N/A,1,-1,DECRETO LEGISLATIVO,Ordinária,07-07-2004,01-08-2004,COMUNICAÇÕES,Ordinária,02-07-2002,2002,N/A,01-02-2003,4,13-07-2004,16-12-2002,DLG,15-02-2004,N/A,PDC 2618/2002,ATIVO,-1,N/A,PDC,1,15-02-2002,-1,15-12-2004,TRANSFORMADA EM NORMA,TipoOrgao_2,2,31-01-2003,N/A,1,01-02-1999,2618,1,N/A,01-08-2002
2002,51,52,N/A,,N/A,"PROJETO DE DECRETO LEGISLATIVO DE CONCESSÃO, RENOVAÇÃO E PERMISSÃO DE RADIO/TV","CONCESSÃO/RENOVAÇÃO DE RADIO/TV (ART. 49, XII C/C 223 DA CF)",32,N/A,31-01-2007,103174,ATIVADO,"COMISSÃO DE CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA","CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA",19-12-2002,COMISSÃO PERMANENTE,N/A,1,-1,DECRETO LEGISLATIVO,Extraordinária,18-03-2004,01-08-2004,COMUNICAÇÕES,Ordinária,,2002,N/A,01-02-2003,6,13-07-2004,20-12-2002,DLG,15-02-2004,N/A,PDC 2779/2002,ATIVO,-1,N/A,PDC,2,17-12-2002,-1,15-12-2004,TRANSFORMADA EM NORMA,TipoOrgao_2,2,31-01-2003,N/A,1,01-02-1999,2779,1,N/A,
2002,51,52,N/A,,N/A,"PROJETO DE DECRETO LEGISLATIVO DE CONCESSÃO, RENOVAÇÃO E PERMISSÃO DE RADIO/TV","CONCESSÃO/RENOVAÇÃO DE RADIO/TV (ART. 49, XII C/C 223 DA CF)",32,N/A,31-01-2007,103234,ATIVADO,"COMISSÃO DE CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA","CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA",19-12-2002,COMISSÃO PERMANENTE,N/A,1,-1,DECRETO LEGISLATIVO,Extraordinária,18-11-2004,01-08-2004,COMUNICAÇÕES,Ordinária,,2002,N/A,01-02-2003,6,13-07-2004,20-12-2002,DLG,15-02-2004,N/A,PDC 2825/2002,ATIVO,-1,N/A,PDC,2,17-12-2002,-1,15-12-2004,TRANSFORMADA EM NORMA,TipoOrgao_2,2,31-01-2003,N/A,1,01-02-1999,2825,1,N/A,
2002,51,52,N/A,,N/A,"PROJETO DE DECRETO LEGISLATIVO DE CONCESSÃO, RENOVAÇÃO E PERMISSÃO DE RADIO/TV","CONCESSÃO/RENOVAÇÃO DE RADIO/TV (ART. 49, XII C/C 223 DA CF)",32,N/A,31-01-2007,101084,ATIVADO,"COMISSÃO DE CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA","CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA",09-12-2002,COMISSÃO PERMANENTE,N/A,1,-1,DECRETO LEGISLATIVO,Ordinária,20-08-2004,01-08-2004,COMUNICAÇÕES,Ordinária,02-07-2002,2002,N/A,01-02-2003,4,13-07-2004,16-12-2002,DLG,15-02-2004,N/A,PDC 2566/2002,ATIVO,-1,N/A,PDC,1,15-02-2002,-1,15-12-2004,TRANSFORMADA EM NORMA,TipoOrgao_2,2,31-01-2003,N/A,1,01-02-1999,2566,1,N/A,01-08-2002
2002,51,52,N/A,,N/A,"PROJETO DE DECRETO LEGISLATIVO DE CONCESSÃO, RENOVAÇÃO E PERMISSÃO DE RADIO/TV","CONCESSÃO/RENOVAÇÃO DE RADIO/TV (ART. 49, XII C/C 223 DA CF)",32,N/A,31-01-2007,101216,ATIVADO,"COMISSÃO DE CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA","CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA",09-12-2002,COMISSÃO PERMANENTE,N/A,1,-1,DECRETO LEGISLATIVO,Ordinária,23-01-2004,,COMUNICAÇÕES,Extraordinária,02-07-2002,2002,N/A,01-02-2003,4,,16-12-2002,DLG,19-01-2004,N/A,PDC 2634/2002,ATIVO,-1,N/A,PDC,1,15-02-2002,-1,13-02-2004,TRANSFORMADA EM NORMA,TipoOrgao_2,3,31-01-2003,N/A,1,01-02-1999,2634,2,N/A,01-08-2002
2002,51,52,N/A,,N/A,"PROJETO DE DECRETO LEGISLATIVO DE CONCESSÃO, RENOVAÇÃO E PERMISSÃO DE RADIO/TV","CONCESSÃO/RENOVAÇÃO DE RADIO/TV (ART. 49, XII C/C 223 DA CF)",32,N/A,31-01-2007,103111,ATIVADO,"COMISSÃO DE CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA","CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA",19-12-2002,COMISSÃO PERMANENTE,N/A,1,-1,DECRETO LEGISLATIVO,Extraordinária,17-08-2004,01-08-2004,COMUNICAÇÕES,Ordinária,,2002,N/A,01-02-2003,6,13-07-2004,20-12-2002,DLG,15-02-2004,N/A,PDC 2722/2002,ATIVO,-1,N/A,PDC,2,17-12-2002,-1,15-12-2004,TRANSFORMADA EM NORMA,TipoOrgao_2,2,31-01-2003,N/A,1,01-02-1999,2722,1,N/A,
2002,51,52,N/A,,N/A,"PROJETO DE DECRETO LEGISLATIVO DE CONCESSÃO, RENOVAÇÃO E PERMISSÃO DE RADIO/TV","CONCESSÃO/RENOVAÇÃO DE RADIO/TV (ART. 49, XII C/C 223 DA CF)",32,N/A,31-01-2007,103110,ATIVADO,"COMISSÃO DE CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA","CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA",19-12-2002,COMISSÃO PERMANENTE,N/A,1,-1,DECRETO LEGISLATIVO,Extraordinária,02-02-2004,,COMUNICAÇÕES,Extraordinária,,2002,N/A,01-02-2003,6,,20-12-2002,DLG,19-01-2004,N/A,PDC 2721/2002,ATIVO,-1,N/A,PDC,2,17-12-2002,-1,13-02-2004,TRANSFORMADA EM NORMA,TipoOrgao_2,3,31-01-2003,N/A,1,01-02-1999,2721,2,N/A,
2002,51,52,N/A,,N/A,PROJETO DE DECRETO LEGISLATIVO,PROJETO DE DECRETO LEGISLATIVO,32,N/A,31-01-2007,97779,ATIVADO,"COMISSÃO DE CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA","CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA",14-11-2002,COMISSÃO PERMANENTE,N/A,1,-1,DECRETO LEGISLATIVO,Ordinária,08-08-2003,01-08-2003,COMUNICAÇÕES,Ordinária,02-07-2002,2002,N/A,01-02-2003,4,30-06-2003,16-12-2002,DLG,17-02-2003,N/A,PDC 2294/2002,ATIVO,-1,N/A,PDC,1,15-02-2002,-1,15-12-2003,TRANSFORMADA EM NORMA,TipoOrgao_2,1,31-01-2003,N/A,1,01-02-1999,2294,1,N/A,01-08-2002
2002,51,52,N/A,,N/A,"PROJETO DE DECRETO LEGISLATIVO DE CONCESSÃO, RENOVAÇÃO E PERMISSÃO DE RADIO/TV","CONCESSÃO/RENOVAÇÃO DE RADIO/TV (ART. 49, XII C/C 223 DA CF)",32,N/A,31-01-2007,103131,ATIVADO,"COMISSÃO DE CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA","CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA",19-12-2002,COMISSÃO PERMANENTE,N/A,1,-1,DECRETO LEGISLATIVO,Extraordinária,07-07-2004,01-08-2004,COMUNICAÇÕES,Ordinária,,2002,N/A,01-02-2003,6,13-07-2004,20-12-2002,DLG,15-02-2004,N/A,PDC 2740/2002,ATIVO,-1,N/A,PDC,2,17-12-2002,-1,15-12-2004,TRANSFORMADA EM NORMA,TipoOrgao_2,2,31-01-2003,N/A,1,01-02-1999,2740,1,N/A,
2002,51,52,N/A,,N/A,PROJETO DE DECRETO LEGISLATIVO,PROJETO DE DECRETO LEGISLATIVO,32,N/A,31-01-2007,101053,ATIVADO,"COMISSÃO DE CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA","CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA",09-12-2002,COMISSÃO PERMANENTE,N/A,1,-1,DECRETO LEGISLATIVO,Ordinária,19-11-2003,01-08-2003,COMUNICAÇÕES,Ordinária,02-07-2002,2002,N/A,01-02-2003,4,30-06-2003,16-12-2002,DLG,17-02-2003,N/A,PDC 2538/2002,ATIVO,-1,N/A,PDC,1,15-02-2002,-1,15-12-2003,TRANSFORMADA EM NORMA,TipoOrgao_2,1,31-01-2003,N/A,1,01-02-1999,2538,1,N/A,01-08-2002
